Area,Item,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,Wheat,0.0,0.0,0.0,0.0,161.8,334.9,235.0,199.2,203.4,194.8,167.3,181.2,209.3,250.0,233.3,249.7,309.6,429.1,273.7,279.0,406.4,360.5,406.9,360.3,301.7,296.9,276.9,294.0,286.8
Albania,"Wool, greasy",0.0,0.0,1457.6,975.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,485.9,385.0,436.7,434.8,466.1,329.7
Algeria,Apples,0.0,0.0,0.0,0.0,407.7,0.0,0.0,0.0,0.0,0.0,0.0,978.9,1085.3,1207.3,1255.5,1156.3,1270.0,1424.5,1335.2,1371.2,1439.6,1431.6,1637.9,1623.7,1310.9,1736.1,2126.6,1844.0,0.0
Algeria,Apricots,0.0,0.0,0.0,0.0,608.9,0.0,0.0,0.0,0.0,0.0,414.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Artichokes,0.0,0.0,0.0,0.0,153.4,0.0,0.0,0.0,0.0,0.0,220.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Barley,124.5,215.2,201.3,171.1,209.8,182.7,173.3,170.2,150.2,132.9,129.5,125.5,180.9,194.3,191.1,206.5,216.5,387.1,344.1,336.1,342.8,322.4,315.0,310.3,248.3,228.4,225.3,214.4,0.0
Algeria,"Beans, dry",487.2,1360.1,1272.2,847.2,629.4,548.0,519.9,510.7,450.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,"Beans, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.5,607.3,652.2,655.1,784.6,966.9,1161.3,1252.6,1263.7,1357.3,1560.6,1600.1,1582.3,1330.8,1270.1,1189.5,1226.5,0.0
Algeria,"Broad beans, horse beans, dry",216.5,590.8,552.6,368.0,482.6,456.6,433.2,425.6,375.5,0.0,291.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Cabbages and other brassicas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.4,310.1,305.3,368.5,481.8,375.2,511.0,591.9,443.6,507.3,490.1,491.4,494.3,456.8,402.0,450.6,428.8,0.0
Algeria,Carrots and turnips,0.0,0.0,0.0,0.0,245.5,246.6,233.9,0.0,0.0,0.0,336.7,213.3,245.5,208.2,286.6,316.6,303.1,371.6,413.0,349.5,425.0,503.0,504.0,460.2,427.0,365.5,405.5,377.4,0.0
Algeria,Cauliflowers and broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.1,376.5,413.5,374.7,491.3,454.3,534.0,634.8,715.8,685.6,658.1,709.3,705.6,659.8,546.2,530.0,576.7,514.6,0.0
Algeria,Chick peas,535.9,787.7,736.8,542.0,954.6,821.9,779.8,766.1,675.9,0.0,582.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,"Chillies and peppers, dry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.3,697.7,638.4,846.1,949.8,966.9,1052.9,1018.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,"Chillies and peppers, green",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,710.6,791.0,764.2,839.7,822.6,960.0,963.6,941.0,973.4,941.5,970.2,978.3,774.6,657.9,666.8,643.3,0.0
Algeria,Cucumbers and gherkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Dates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.1,1188.7,1471.0,1569.4,1775.7,1977.1,2462.0,2532.8,2876.9,3263.0,3392.0,3754.6,4253.6,3694.5,3700.6,3802.7,3370.7,0.0
Algeria,Eggplants (aubergines),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,"Eggs, hen, in shell",0.0,0.0,0.0,0.0,1594.5,1643.9,1871.5,1940.8,1997.8,1767.2,1165.6,1255.0,1524.6,1554.2,1364.7,1500.4,1521.1,2093.4,2263.0,1766.5,2160.7,2231.2,2194.8,2337.3,1787.6,1644.7,1802.2,1715.4,0.0
Algeria,"Fruit, citrus nes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.4,568.5,721.6,750.6,715.8,837.0,1052.9,1128.7,0.0,0.0,0.0,0.0,0.0,1158.7,0.0,0.0,0.0,0.0
Algeria,Garlic,974.4,1648.6,1542.1,1026.9,1258.8,0.0,0.0,1015.8,1085.4,1162.6,0.0,1330.3,1020.7,1207.3,1514.8,1527.9,1414.3,1409.0,2174.9,4409.4,4126.8,2231.2,2230.1,2209.0,2542.4,3207.1,4487.6,2487.3,0.0
Algeria,Grapes,0.0,0.0,0.0,0.0,421.7,0.0,0.0,0.0,0.0,0.0,0.0,652.6,891.5,1401.6,832.5,715.8,1010.2,991.0,1073.7,1183.0,1480.7,1728.2,1348.1,1653.7,1171.9,1398.0,1297.6,1543.8,0.0
Algeria,"Honey, natural",0.0,0.0,0.0,0.0,4756.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Lemons and limes,0.0,0.0,0.0,0.0,346.6,0.0,0.0,0.0,0.0,0.0,0.0,514.5,516.8,610.6,777.9,550.6,591.7,789.7,1211.3,981.4,863.7,1160.8,1083.6,1017.6,1251.3,1352.3,1567.9,1466.6,0.0
Algeria,Lentils,535.9,1156.3,1081.6,720.2,629.4,548.0,519.9,510.7,450.6,0.0,388.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Lettuce and chicory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.2,323.0,305.3,382.1,426.7,404.1,526.5,564.4,551.2,589.5,632.0,667.8,598.8,566.1,530.0,549.7,531.8,0.0
Algeria,Maize,173.2,522.1,488.3,325.2,335.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,"Meat live weight, cattle",0.0,0.0,0.0,0.0,0.0,2708.5,3799.1,3732.3,3391.1,2779.7,2382.1,2675.6,3003.3,3896.7,3512.7,3493.1,3429.5,3840.7,4201.7,4299.1,4798.6,5152.2,5525.4,5250.6,3988.1,3469.3,3613.9,0.0,0.0
Algeria,"Meat live weight, chicken",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.7,1689.0,1676.9,1887.6,1893.6,2083.9,2553.6,2479.4,2104.4,2469.1,2745.5,2376.7,2350.4,1993.8,1730.5,1652.1,0.0,0.0
Algeria,"Meat live weight, sheep",0.0,0.0,0.0,0.0,0.0,2767.1,1593.2,1565.3,1422.1,1165.7,999.0,2811.2,3223.7,4274.2,3732.4,3634.0,3564.6,3894.2,4411.7,4550.6,4942.6,6048.8,6847.8,6900.1,5685.7,0.0,0.0,0.0,0.0
Algeria,"Meat, cattle",0.0,0.0,0.0,0.0,1678.5,0.0,0.0,0.0,0.0,0.0,0.0,5145.5,5775.6,7493.7,6755.3,6717.5,6595.2,7385.9,8080.1,8254.2,9213.3,9892.2,10608.8,10081.2,7657.1,6852.9,6938.6,8276.6,0.0
Algeria,"Meat, chicken",0.0,0.0,0.0,0.0,0.0,2082.2,2044.8,2008.9,1772.5,0.0,0.0,1719.3,2222.4,2206.5,2483.7,2491.5,2742.0,3360.0,3262.3,2769.3,3249.3,3624.1,3137.3,3102.5,2631.8,2339.1,2180.7,2453.0,0.0
